host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,solo.dual.count,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20,prop.gp.21,prop.gp.22,prop.gp.23,prop.gp.24,prop.gp.25,prop.gp.26,prop.gp.27,prop.gp.28,prop.gp.29,prop.gp.30,prop.gp.31,prop.gp.32
200724_20-08522_HIV11-02415_FL24_S18_L000,1080_to_1330,1205,655,2070,1,1,0.02616310190227052,0.02616310190227052,0.022687703,0.0772900887,0.030207282092526554,0.030207282092526554,0.022485020435972815,0.022485020435972815,0.019498202755385465,0.06642443355567229,0.02596065855275024,0.02596065855275024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1080_to_1330,1205,577,2613,1,1,0.02012767986329888,0.02012767986329888,0.0137293499,0.0908027779,0.030218637596235318,0.030218637596235318,0.01729807477513659,0.01729807477513659,0.011799239793020526,0.07803747141111793,0.025970417668236854,0.025970417668236854,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1090_to_1340,1215,357,3179,1,238,0.005362246402547973,0.005362246402547973,0.0133361353,0.0438526493,0.01194094676316684,0.01194094676316684,0.0046564766562740036,0.0046564766562740036,0.011580855866648351,0.03808083822559732,0.010369299670764163,0.010369299670764163,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1090_to_1340,1215,457,2950,1,1,0.010411660676338978,0.010411660676338978,0.0229103325,0.0678662019,0.015656342522593958,0.015656342522593958,0.009041295616214405,0.009041295616214405,0.019894913524121892,0.05893376789756749,0.013595681363028635,0.013595681363028635,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1090_to_1340,1215,637,2253,1,1,0.01384458965841101,0.01384458965841101,0.0173459932,0.0680621918,0.020269598789748527,0.020269598789748527,0.01202238832767003,0.01202238832767003,0.01506294309364591,0.05910396194045627,0.017601748690932038,0.017601748690932038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1090_to_1340,1215,632,2085,1,1,0.038819524601918474,0.038819524601918474,0.026974452400000005,0.1035577916,0.03631626457456469,0.03631626457456469,0.03371016483513238,0.03371016483513238,0.023424120879020082,0.08992769129959317,0.03153637963264374,0.03153637963264374,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1090_to_1340,1215,571,2573,1,1,0.021024475291138753,0.021024475291138753,0.0136091141,0.1034574771,0.03353173463122131,0.03353173463122131,0.01825726963182411,0.01825726963182411,0.011817905661535377,0.08984058002337247,0.02911834478185558,0.02911834478185558,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1100_to_1350,1225,350,3094,1,2,0.009688627446800258,0.009688627446800258,0.0134092486,0.0396497735,0.0117525031653246,0.0117525031653246,0.008513890500357271,0.008513890500357271,0.011783389845397847,0.03484227583283262,0.010327523233202787,0.010327523233202787,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1100_to_1350,1225,458,2985,1,1,0.007311793891926296,0.007311793891926296,0.014027924599999998,0.0509728404,0.015782919766582897,0.015782919766582897,0.0064252457738583745,0.0064252457738583745,0.012327051963496795,0.04479243154313994,0.013869255620205436,0.013869255620205436,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1100_to_1350,1225,647,2390,1,1,0.014408783784769856,0.014408783784769856,0.0177603773,0.0655598068,0.019363547276778272,0.019363547276778272,0.01266173233107113,0.01266173233107113,0.015606948291439273,0.057610742015280755,0.017015735419512637,0.017015735419512637,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
